"Concepto","Base mínima en UVT ≥","Base mínima en pesos  ≥","","%"
"Adquisición de bienes raíces para uso de vivienda de habitación por las primeras 20.000 UVT."," ≥ 27 hasta 20.000 UVT","≤","$ 995,980,000","1%"
"Adquisición de bienes raíces para uso de vivienda de habitación cuando exceda las 20.000 UVT (al excedente se le aplicará la tarifa aquí señalada).","Exceso  de 20.000 UVT","> ","$ 995,980,000","2.50%"
"Adquisición de bienes raíces para uso diferente a vivienda de habitación, si el pagador es persona jurídica, sociedad de hecho o persona natural agente de retención, de acuerdo con lo establecido en el artículo 368-2 del ET.","≥ 27 UVT","≥","$ 1,345,000","2.50%"
"Adquisición de vehículos.","≥ 27 UVT","≥","$ 1,345,000","1%"
"Arrendamiento de bienes inmuebles (declarantes y no declarantes)","27","","$ 1,345,000","3.50%"
"Arrendamiento de bienes muebles","0","","100%","4%"
"Colocación independiente de juegos de suerte y azar","5","","$ 249,000","3%"
"Comisiones Bolsa de Valores","0","","100%","3%"
"Comisiones sector financiero","0","","100%","11%"
"Compras con tarjeta débito o crédito","0","","100%","1.50%"
"Compras de bienes o productos agrícolas o pecuarios sin procesamiento industrial","92","","$ 4,582,000","1.50%"
"Compras de café pergamino o cereza","160","","$ 7,968,000","0.50%"
"Compras de combustibles derivados del petróleo","0","","100%","0.10%"
"Compras generales (declarantes renta)","27","","$ 1,345,000","2.50%"
"Compras generales (no declarantes renta)","27","","$ 1,345,000","3.50%"
"Compras de oro","","","100%","1%"
"Contratos de construcción y urbanización.","27","","$ 1,345,000","2%"
"Contratos de consultoría de obras públicas.","0","","100%","2%"
"Contratos de consultoría en ingeniería de proyectos de infraestructura y edificaciones a favor de personas naturales no declarantes del impuesto de renta.","0","","100%","10%"
"Contratos de consultoría en ingeniería de proyectos de infraestructura y edificaciones a favor de personas naturales o jurídicas y entidades declarantes del impuesto de renta.","0","","100%","6%"
"Diseño, análisis, desarrollo, implementación, mantenimiento, ajustes, pruebas, suministro y documentación, fases necesarias en la elaboración de programas de informática,  diseño de páginas web , consultoría en programas de informática y licenciamiento y derecho de uso del software (la tarifa depende de si el beneficiario del pago o abono en cuenta cumple o no con las condiciones establecidas en los literales a) y b) del art. 1.2.4.3.1 DUR 1625 de 2016","0","","100%","10% u 11%"
"Diseño, análisis, desarrollo, implementación, mantenimiento, ajustes, pruebas, suministro y documentación, fases necesarias en la elaboración de programas de informática,  diseño de páginas web , consultoría en programas de informática y licenciamiento y derecho de uso del software. Declarante de renta","0","","100%","3.50%"
"Enajenación de activos fijos de personas naturales (En el caso de Inmueble la retención la realiza las notarías y de vehículos tránsito)","0","","100%","1%"
"Estudios de mercado y la realización de encuestas de opinión pública","0","","100%","4%"
"Honorarios y comisiones (no declarantes renta)","0","","100%","10%"
"Honorarios y comisiones pagados a personas jurídicas y tambien a P. naturales que suscriban contratos por más de 3.300 Uvt o que la sumatoria de los pagos o abonos en cuenta durante el año gravable superen 3.300 UVT","0","","100%","11%"
"Honorarios y comisiones (personas jurídicas)","0","","100%","11%"
"Honorarios profesores extranjeros sin residencia en el pais contratados por períodos no superiores a ciento ochenta y dos (182) días por instituciones de educación superior legalmente constituidas","0","","100%","7%"
"Indemnizaciones diferentes a las salariales y a las percibidas en demandas contra el estado.","0","","100%","20%"
"Indemnizaciones de la relación laboral, legal y reglamentaria  para trabajores que devenguen ingresos inferiores al equivalente a 204 UVT","0","","0%","0%"
"Indemnizaciones de la relación laboral, legal y reglamentaria  para trabajores que devenguen ingresos superiores al equivalente a 204 UVT","0","","100%","20%"
"Intereses y demás rendimientos financieros en general","0","","100%","7%"
"Licenciamiento y derecho de uso del software","0","","100%","3.50%"
"Loterías, rifas, apuestas y similares","48","","$ 2,390,000","20%"
"Otros ingresos tributarios (declarantes)","27","","$ 1,345,000","2.50%"
"Otros ingresos tributarios (no declarantes)","27","","$ 1,345,000","3.50%"
"Por emolumentos eclesiásticos (declarantes)","27","","$ 1,345,000","4%"
"Por emolumentos eclesiásticos (no declarantes)","27","","$ 1,345,000","3.50%"
"Rendimientos financieros (títulos de renta fija)","0","","100%","4%"
"Rentas de trabajo","95","","$ 4,731,000","Tabla art. 383 ET"
"Servicios de hoteles y restaurantes","4","","$ 199,000","3.50%"
"Servicios de licenciamiento o derecho de uso de software","0","","100%","3.50%"
"Actividades de análisis, diseño, desarrollo, implementación, mantenimiento, ajustes, pruebas, suministro y documentación, fases necesarias en la elaboración de programas de informática, sean o no personalizados, así como el diseño de páginas web y consultoría en programas de informática","0","","100%","3.50%"
"Servicios de transporte nacional de carga","4","","$ 199,000","1%"
"Servicios de transporte de pasajeros nacional por vía aérea o marítima","4","","$ 199,000","1%"
"Servicios de transporte nacional de pasajeros por vía terrestre","27","","$ 1,345,000","3.50%"
"Servicios generales (declarantes renta)","4","","$ 199,000","4%"
"Servicios generales (no declarantes renta)","4","","$ 199,000","6%"
"Servicos P.N no declarante cuando del contrato se desprenda que los ingresos, o de los pagos o abonos en cuenta superan en el año (3.300) UVT; se aplicará el 4% a partir del pago o abono en cuenta del valor que exceda dicho valor.","4","","$ 199,000","4%"
"Servicios integrales de salud prestados por IPS","4","","$ 199,000","2%"
"Servicios prestados por empresas de servicios temporales (sobre AIU) que no puede ser inferior al 10% del contrato.","4","","$ 199,000","1%"
"Servicios prestados por empresas de vigilancia y aseo (sobre AIU) que no puede ser inferior al 10% del contrato","4","","$ 199,000","2%"
"Servicios de sísmica","","","100%","6%"
"Rete IVA por compras  (15% sobre el IVA)","27","","$ 1,345,000","15%"
"Rete IVA por servicios (15% sobre el IVA)","4","","$ 199,000","15%"
